Year,OilPrice-USA,GasPrice-USA,CoalPrice-USA,ElectricityPrice-USA,MPG-USA,FleetSize-USA,EnergyIntensity-USA,OilConsumption-USA
1861,12.873585465509997,,,,,,,
1862,24.827629112054996,,,,,,,
1863,60.3915302725662,,,,,,,
1864,121.64783625724212,,,,,,,
1865,101.62364959530584,,,,,,,
1866,60.29567070070498,,,,,,,
1867,40.703800108879264,,,,,,,
1868,64.37449548339973,,,,,,,
1869,64.55183569134297,,,,,,,
1870,72.0561265958889,,,,,,,
1871,85.51738916374495,,,,,,,
1872,71.72426187926996,,,,,,,
1873,36.05917561512748,,,,,,,
1874,24.410358034541456,,,,,,,
1875,29.019306754349987,,,,,,,
1876,56.748866541839966,,,,,,,
1877,53.645412902833094,,,,,,,
1878,29.108254821029984,,,,,,,
1879,21.787511261599274,,,,,,,
1880,23.237682420149987,,,,,,,
1881,21.036217769819988,,,,,,,
1882,19.079360302859993,,,,,,,
1883,25.334315420464275,,,,,,,
1884,22.069003655159992,,,,,,,
1885,23.11990859111999,,,,,,,
1886,18.65356261328999,,,,,,,
1887,17.602657677329994,,,,,,,
1888,23.11990859111999,,,,,,,
1889,24.69626599505999,,,,,,,
1890,22.85718235712999,,,,,,,
1891,17.602657677329994,,,,,,,
1892,14.712669103439994,,,,,,,
1893,16.814478975359993,,,,,,,
1894,22.91781148805076,,,,,,,
1895,38.58922924845118,,,,,,,
1896,33.481831259685585,,,,,,,
1897,22.415802284026793,,,,,,,
1898,25.82073427653719,,,,,,,
1899,36.603018919486786,,,,,,,
1900,33.76557559239479,,,,,,,
1901,27.239455940083186,,,,,,,
1902,21.826487131476917,,,,,,,
1903,24.69626599505999,,,,,,,
1904,22.59445612313999,,,,,,,
1905,16.289026507379994,,,,,,,
1906,19.17901508126999,,,,,,,
1907,18.240707102734277,,,,,,,
1908,18.91628884727999,,,,,,,
1909,18.39083637929999,,,,,,,
1910,15.453932406483206,,,,,,,
1911,15.45393240648321,,,,,,,
1912,18.100931569379995,,,,,,,
1913,22.689992935499998,,,,,,,
1914,19.087026413400004,,,,,,,
1915,14.9309333184,,,,,,,
1916,23.860975424,,,,,,,
1917,28.8143463036,,,,,,,
1918,31.137634340999995,,,,,,,
1919,27.5313969843,,,,,,,
1920,36.3020688591,,,,,,,
1921,22.900701048499997,,,,,,,
1922,22.750835199399997,,,,,,,
1923,18.6019948246,,,,,,,
1924,19.810710419499998,,,,,,,
1925,22.700729805599998,,,,,,,
1926,25.162577981200002,,,,,,,
1927,17.732426855,,,,,,,
1928,16.1754858837,,,,,,,
1929,17.5580060447,,,,,,,
1930,16.8835267678,,,,,,,
1931,10.1110267115,,,,,,,
1932,15.088004484299999,,,,,,,
1933,12.246763196799998,,,,,,,
1934,17.690948879999997,,,,,,,
1935,16.739491536899997,,,,,,,
1936,18.634679468900003,,,,,,,
1937,19.4685289766,,,,,,,
1938,18.9971258653,,,,,,,
1939,17.394440613,,,,,,,
1940,17.227628048400003,,,,,,,
